ubigeo,departamento,provincia,distrito,IASE_base,IASE_alt,clase_base,clase_alt,rank_base,rank_alt,rank_change,clase_change
050510,AYACUCHO,LA MAR,ANCHIHUAY,0.293420627769064,0.4321944337170881,Bajo,Medio,672,663,9,True
080905,CUSCO,LA CONVENCION,OCOBAMBA,0.29341407531520586,0.43218460503630085,Bajo,Medio,673,664,9,True
110404,ICA,PALPA,SANTA CRUZ,0.2931966160618151,0.4278901621879608,Bajo,Medio,674,682,-8,True
210301,PUNO,CARABAYA,MACUSANI,0.29268081672451324,0.4231450835182868,Bajo,Medio,675,700,-25,True
210114,PUNO,PUNO,TIQUILLACA,0.29259884759011967,0.43096176344867154,Bajo,Medio,676,669,7,True
110203,ICA,CHINCHA,CHAVIN,0.2925133840222674,0.4348018220651471,Bajo,Medio,677,644,33,True
040308,AREQUIPA,CARAVELI,CHAPARRA,0.2924291294486773,0.43070718623650806,Bajo,Medio,678,672,6,True
180211,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,0.29209647749355955,0.4341764622720854,Bajo,Medio,679,647,32,True
090509,HUANCAVELICA,CHURCAMPA,SAN PEDRO DE CORIS,0.29186207042946183,0.43779310564419277,Bajo,Medio,680,628,52,True
051005,AYACUCHO,VICTOR FAJARDO,CANARIA,0.2915754729900026,0.42545094591112065,Bajo,Medio,681,691,-10,True
090106,HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA,0.2915503063572911,0.43335720556768276,Bajo,Medio,682,653,29,True
030301,APURIMAC,ANTABAMBA,ANTABAMBA,0.2915277940515032,0.421418675204239,Bajo,Medio,683,705,-22,True
040413,AREQUIPA,CASTILLA,URACA,0.29103549020915076,0.4325849813454722,Bajo,Medio,684,656,28,True
120809,JUNIN,YAULI,SUITUCANCHA,0.2909635653491716,0.43247709405550344,Bajo,Medio,685,658,27,True
040310,AREQUIPA,CARAVELI,JAQUI,0.29095191697389866,0.42560510032988935,Bajo,Medio,686,688,-2,True
120803,JUNIN,YAULI,HUAY-HUAY,0.2909439420608519,0.43244765912302385,Bajo,Medio,687,659,28,True
090721,HUANCAVELICA,TAYACAJA,ROBLE,0.29086745282283216,0.432324173318686,Bajo,Medio,688,661,27,True
090722,HUANCAVELICA,TAYACAJA,PICHOS,0.29054486475738245,0.43184841802872626,Bajo,Medio,689,666,23,True
210306,PUNO,CARABAYA,CRUCERO,0.290529842383914,0.42389000167110913,Bajo,Medio,690,698,-8,True
040118,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,0.29046066467506676,0.43569099701260017,Bajo,Medio,691,640,51,True
050610,AYACUCHO,LUCANAS,LLAUTA,0.29036673000892443,0.4236453331086248,Bajo,Medio,692,699,-7,True
170104,MADRE DE DIOS,TAMBOPATA,LABERINTO,0.28992737788186673,0.4190180509497842,Bajo,Medio,693,713,-20,True
040301,AREQUIPA,CARAVELI,CARAVELI,0.2897914383885145,0.4307189036145178,Bajo,Medio,694,671,23,True
080502,CUSCO,CANAS,CHECCA,0.28944384639714765,0.4262292616592136,Bajo,Medio,695,687,8,True
081005,CUSCO,PARURO,HUANOQUITE,0.28924466368088103,0.4298987415530676,Bajo,Medio,696,675,21,True
040407,AREQUIPA,CASTILLA,HUANCARQUI,0.2891736845394277,0.43376052680914157,Bajo,Medio,697,649,48,True
120503,JUNIN,JUNIN,ONDORES,0.28907175039886185,0.42963937163003885,Bajo,Medio,698,676,22,True
090505,HUANCAVELICA,CHURCAMPA,LA MERCED,0.28895706483847705,0.43343559725771563,Bajo,Medio,699,652,47,True
090601,HUANCAVELICA,HUAYTARA,HUAYTARA,0.2888580193127227,0.42931752472264323,Bajo,Medio,700,678,22,True
210903,PUNO,MOHO,HUAYRAPATA,0.288581551208743,0.4249358188766066,Bajo,Medio,701,693,8,True
081212,CUSCO,QUISPICANCHI,QUIQUIJANA,0.2883743994859672,0.42462509129244286,Bajo,Medio,702,694,8,True
211002,PUNO,SAN ANTONIO DE PUTINA,ANANEA,0.28812120946941344,0.41630879833110435,Bajo,Medio,703,727,-24,True
110405,ICA,PALPA,TIBILLO,0.28791306689560514,0.42790134637515376,Bajo,Medio,704,681,23,True
040206,AREQUIPA,CAMANA,OCOÃA,0.2878402222661935,0.41985557149452835,Bajo,Medio,705,709,-4,True
040509,AREQUIPA,CAYLLOMA,ICHUPAMPA,0.2877129917803804,0.4276012337023166,Bajo,Medio,706,684,22,True
180210,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,0.28753886166170795,0.41940353058780006,Bajo,Medio,707,710,-3,True
